0.2,Max14:9.0,Sherman12:9.2,Chris20:9.3,Jeffrey1:9.3,Marcus17:9.0,Karen13:9.2,Ryan18:8.8,Frank8:9.1,Joeseph9:9.0,Jose15:9.3,Martin16:9.2,Khoman 6:8.8,Jessica10:8.8,Jonathan5:8.9,Tom11:8.8,Michael7:9.0,Vivien3:8.9,Alex2:9.3,John4:9.0
0.2,Max14:9.0,Sherman12:9.2,Chris20:9.3,Jeffrey1:9.3,Marcus17:9.0,Karen13:9.3,Ryan18:8.7,Frank8:9.1,Joeseph9:9.1,Jose15:9.3,Martin16:9.2,Khoman 6:8.7,Jessica10:8.8,Jonathan5:9.0,Tom11:8.8,Michael7:8.9,Vivien3:8.8,Alex2:9.3,John4:9.1
0.2,Max14:8.9,Sherman12:9.2,Chris20:9.6,Jeffrey1:9.6,Marcus17:9.0,Karen13:9.3,Ryan18:8.7,Frank8:9.1,Joeseph9:9.0,Jose15:9.6,Martin16:9.3,Khoman 6:8.7,Jessica10:8.7,Jonathan5:8.9,Tom11:8.7,Michael7:9.0,Vivien3:8.8,Alex2:9.6,John4:9.0
0.0,Max14:8.9,Sherman12:9.2,Chris20:9.6,Jeffrey1:9.6,Marcus17:9.0,Karen13:9.4,Ryan18:8.6,Frank8:9.1,Joeseph9:9.1,Jose15:9.6,Martin16:9.3,Khoman 6:8.6,Jessica10:8.7,Jonathan5:9.0,Tom11:8.7,Michael7:8.9,Vivien3:8.7,Alex2:9.6,John4:9.1
0.9,Max14:9.1,Sherman12:9.1,Chris20:9.3,Danny19:9.3,Jeffrey1:9.3,Marcus17:8.7,Karen13:9.2,Ryan18:8.7,Frank8:9.1,Joeseph9:8.8,Jose15:8.7,Martin16:9.3,Khoman 6:8.9,Jessica10:8.6,Jonathan5:9.2,Tom11:9.1,Michael7:8.7,Vivien3:9.1,Alex2:8.7,John4:9.1
0.6,Max14:9.2,Sherman12:9.2,Chris20:9.6,Danny19:9.6,Jeffrey1:9.6,Marcus17:8.5,Karen13:9.4,Ryan18:8.4,Frank8:9.2,Joeseph9:8.7,Jose15:8.5,Martin16:9.5,Khoman 6:8.8,Jessica10:8.3,Jonathan5:9.3,Tom11:9.2,Michael7:8.5,Vivien3:9.1,Alex2:8.4,John4:9.1
0.5,Max14:9.1,Sherman12:9.1,Chris20:9.8,Danny19:9.9,Jeffrey1:9.8,Marcus17:8.4,Karen13:9.5,Ryan18:8.3,Frank8:9.2,Joeseph9:8.5,Jose15:8.4,Martin16:9.7,Khoman 6:8.8,Jessica10:8.1,Jonathan5:9.4,Tom11:9.3,Michael7:8.4,Vivien3:9.3,Alex2:8.1,John4:9.2
0.4,Max14:9.0,Sherman12:9.0,Chris20:9.9,Danny19:10.2,Jeffrey1:9.9,Marcus17:8.4,Karen13:9.6,Ryan18:8.2,Frank8:9.2,Joeseph9:8.3,Jose15:8.4,Martin16:9.8,Khoman 6:8.8,Jessica10:8.0,Jonathan5:9.4,Tom11:9.4,Michael7:8.3,Vivien3:9.4,Alex2:7.9,John4:9.2
0.4,Max14:9.0,Sherman12:9.0,Chris20:10.1,Danny19:10.5,Jeffrey1:10.0,Marcus17:8.4,Karen13:9.6,Ryan18:8.2,Frank8:9.2,Joeseph9:8.2,Jose15:8.4,Martin16:10.0,Khoman 6:8.8,Jessica10:7.9,Jonathan5:9.4,Tom11:9.4,Michael7:8.3,Vivien3:9.4,Alex2:7.8,John4:9.1
0.3,Max14:8.9,Sherman12:8.9,Chris20:10.2,Danny19:10.8,Jeffrey1:10.0,Marcus17:8.5,Karen13:9.6,Ryan18:8.2,Frank8:9.2,Joeseph9:8.1,Jose15:8.5,Martin16:10.0,Khoman 6:8.8,Jessica10:7.8,Jonathan5:9.4,Tom11:9.4,Michael7:8.3,Vivien3:9.4,Alex2:7.7,John4:9.1
0.2,Max14:9.0,Sherman12:8.8,Chris20:10.3,Danny19:11.1,Jeffrey1:10.0,Marcus17:8.5,Karen13:9.6,Ryan18:8.2,Frank8:9.2,Joeseph9:8.1,Jose15:8.4,Martin16:10.1,Khoman 6:8.8,Jessica10:7.7,Jonathan5:9.4,Tom11:9.4,Michael7:8.3,Vivien3:9.4,Alex2:7.6,John4:9.1
0.2,Max14:9.0,Sherman12:8.8,Chris20:10.4,Danny19:11.4,Jeffrey1:10.0,Marcus17:8.5,Karen13:9.6,Ryan18:8.2,Frank8:9.2,Joeseph9:8.1,Jose15:8.3,Martin16:10.2,Khoman 6:8.8,Jessica10:7.6,Jonathan5:9.5,Tom11:9.4,Michael7:8.2,Vivien3:9.4,Alex2:7.5,John4:9.1
0.3,Max14:9.0,Sherman12:8.8,Chris20:10.4,Danny19:11.4,Jeffrey1:10.0,Marcus17:8.5,Karen13:9.7,Ryan18:8.1,Frank8:9.2,Joeseph9:8.0,Jose15:8.3,Martin16:10.2,Khoman 6:8.8,Jessica10:7.6,Jonathan5:9.5,Tom11:9.4,Michael7:8.1,Vivien3:9.4,Alex2:7.4,John4:9.2
0.2,Max14:9.1,Sherman12:8.8,Chris20:10.5,Danny19:11.7,Jeffrey1:10.0,Marcus17:8.5,Karen13:9.7,Ryan18:8.1,Frank8:9.2,Joeseph9:8.0,Jose15:8.2,Martin16:10.3,Khoman 6:8.8,Jessica10:7.5,Jonathan5:9.5,Tom11:9.4,Michael7:8.1,Vivien3:9.4,Alex2:7.3,John4:9.2
